,Link,Brand,Model,Laptop Series,Part No,Processor Brand,Processor Model,Processor Core,RAM,RAM Type,Installed SSD Type,Graphics Chipset,Graphics Memory Accessibility,Graphics Memory,Display Size (Inch),Display Type,Display Resolution,Touch Screen,HDMI Port,LAN,Finger Print Sensor,Operating System,Color,Weight (Kg),Power Adapter,Warranty,Country Of Origin
0,https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-athlon-silver-7120u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-cloud-grey-laptop,Lenovo,Lenovo IdeaPad 1 15AMN7,IdeaPad,82VG00LCIN,AMD,Athlon Silver 7120U,2,8GB,LPDDR5,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Cloud Grey,1.58,65,2,China
1,https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-athlon-silver-7120u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-cloud-grey-laptop,Lenovo,Lenovo IdeaPad 1 15AMN7,IdeaPad,82VG00LCIN,AMD,Athlon Silver 7120U,2,8GB,LPDDR5,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Cloud Grey,1.58,65,2,China
2,https://www.ryans.com/lenovo-ideapad-1-15amn7-amd-athlon-silver-7120u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-cloud-grey-laptop,Lenovo,Lenovo IdeaPad 1 15AMN7,IdeaPad,82VG00LCIN,AMD,Athlon Silver 7120U,2,8GB,LPDDR5,NVMe PCIe,AMD Radeon 610M Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Free-Dos,Cloud Grey,1.58,65,2,China
3,https://www.ryans.com/asus-br1100fka-intel-cdc-n4500-11.6-inch-hd-led-touch-display-dark-grey-education-laptop-bp1039w,Asus,Asus BR1100FKA,ExpertBook,BP1039W,Intel,CDC N4500,2,4GB,DDR4,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,11.6,HD LED Touch Display,1366x768,Yes,1,Yes,No,Win-11 Home,Dark Gray,1.4,45,3,Taiwan
4,https://www.ryans.com/asus-br1100fka-intel-cdc-n4500-11.6-inch-hd-led-touch-display-dark-grey-education-laptop-bp1039w,Asus,Asus BR1100FKA,ExpertBook,BP1039W,Intel,CDC N4500,2,4GB,DDR4,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,11.6,HD LED Touch Display,1366x768,Yes,1,Yes,No,Win-11 Home,Dark Gray,1.4,45,3,Taiwan
5,https://www.ryans.com/asus-br1100fka-intel-cdc-n4500-11.6-inch-hd-led-touch-display-dark-grey-education-laptop-bp1039w,Asus,Asus BR1100FKA,ExpertBook,BP1039W,Intel,CDC N4500,2,4GB,DDR4,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,11.6,HD LED Touch Display,1366x768,Yes,1,Yes,No,Win-11 Home,Dark Gray,1.4,45,3,Taiwan
6,https://www.ryans.com/chuwi-minibook-x-2-in-1-intel-core-n100-10.5-inch-fhd-plus-wuxga-touch-display-grey-laptop,Chuwi,Chuwi MiniBook X 2 in 1,MiniBook,Not Found,Intel,Core N100,4,12GB,LPDDR4,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,10.5,FHD+ Display,1920x1200,Yes,No,No,No,Win-11 Home,Gray,0.92,88,2,China
7,https://www.ryans.com/chuwi-minibook-x-2-in-1-intel-core-n100-10.5-inch-fhd-plus-wuxga-touch-display-grey-laptop,Chuwi,Chuwi MiniBook X 2 in 1,MiniBook,Not Found,Intel,Core N100,4,12GB,LPDDR4,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,10.5,FHD+ Display,1920x1200,Yes,No,No,No,Win-11 Home,Gray,0.92,88,2,China
8,https://www.ryans.com/chuwi-minibook-x-2-in-1-intel-core-n100-10.5-inch-fhd-plus-wuxga-touch-display-grey-laptop,Chuwi,Chuwi MiniBook X 2 in 1,MiniBook,Not Found,Intel,Core N100,4,12GB,LPDDR4,NVMe PCIe,Intel UHD Graphics,Integrated,Shared,10.5,FHD+ Display,1920x1200,Yes,No,No,No,Win-11 Home,Gray,0.92,88,2,China
9,https://www.ryans.com/hp-15s-eq1578au-amd-athlon-silver-3050u-15.6-inch-fhd-display-silver-laptop,HP,HP 15s-eq1578AU,15s,7K1K3PA,AMD,Athlon Silver 3050U,2,8GB,DDR4,NVMe PCIe,AMD Radeon Graphics,Integrated,Shared,15.6,FHD LED Display,1920x1080,No,1,No,No,Win-11 Home,Silver,1.7,45,2,USA
